Strategy,Ann Return %,Total Return %,Sharpe,Sortino,Calmar,Max DD %,Win Rate %,Info Ratio,CVaR 5%,Rachev
PPO,30.98,283.81,1.01,1.387,0.787,-39.38,54.38,0.215,-4.7034,0.988
CPPO,19.25,140.46,0.732,0.991,0.428,-45.01,54.3,-0.017,-4.4899,0.973
PPO-DeepSeek 10%,12.83,82.49,0.612,0.874,0.396,-32.42,52.39,-0.213,-3.4874,1.043
PPO-DeepSeek 1%,1.8,9.32,0.213,0.305,0.029,-63.26,51.11,-0.396,-4.4578,1.011
PPO-DeepSeek 0.1%,17.34,121.86,0.79,1.092,0.563,-30.78,53.5,-0.112,-3.5288,0.937
CPPO-DeepSeek 10%,8.01,46.79,0.416,0.54,0.196,-40.85,52.79,-0.288,-4.3248,0.855
CPPO-DeepSeek 1%,21.48,163.76,0.993,1.39,0.803,-26.75,53.42,-0.03,-3.1782,0.978
CPPO-DeepSeek 0.1%,-6.88,-29.89,-0.017,-0.023,-0.096,-71.68,51.11,-0.526,-5.2941,0.975
CPPO-DeepSeek Phase1 EP90,17.12,119.86,0.75,1.028,0.533,-32.12,54.22,-0.104,-3.7278,0.947
CPPO-DeepSeek Phase1 EP100,17.18,120.35,0.786,1.036,0.423,-40.59,54.46,-0.117,-3.5881,0.9
CPPO-DeepSeek Phase1 EP110,13.91,91.39,0.619,0.842,0.303,-45.86,54.22,-0.164,-3.9728,0.933
