,PPO,CPPO,PPO-DeepSeek 10%,PPO-DeepSeek 1%,PPO-DeepSeek 0.1%,CPPO-DeepSeek 10%,CPPO-DeepSeek 1%,CPPO-DeepSeek 0.1%,CPPO-DeepSeek Phase1 EP90,CPPO-DeepSeek Phase1 EP100,CPPO-DeepSeek Phase1 EP110,Nasdaq-100
2019-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2019-01-03,1025377.0974810941,1029277.5247236185,1029673.6853937991,1028250.6988941012,1031618.1603112547,1040680.6612691461,1035533.8584881466,1022799.1894960026,1032531.002754103,1037253.7116465364,1036303.1463053427,966397.6420776995
2019-01-04,1035760.1124307307,1048270.3025927406,1050518.0470488127,1048742.6054689682,1054060.9396813854,1046596.4021947525,1052461.9572385214,1039107.3381393476,1047735.3094316331,1053778.6131393488,1053364.2326777324,1009715.6212198883
2019-01-07,1035419.5984199257,1053079.2400975917,1057695.0349084996,1056103.0125797433,1061434.4872367242,1039705.2034027585,1061078.890562536,1044493.8846575822,1051326.5856345466,1056654.651743158,1057026.539130385,1020025.5437488515
2019-01-08,1042446.5633535114,1064786.0802123116,1067949.5948799115,1063234.4744114985,1070202.4920431408,1040271.6851234712,1081416.096320796,1056328.325272778,1051738.7765200892,1056327.295165042,1058556.1230291587,1030024.1911798684
2019-01-09,1050437.0049287565,1069632.7016248247,1078416.3745363853,1071645.607527937,1079397.5334349582,1055289.2035697035,1092350.8688984197,1065377.3259564554,1061999.4315569326,1066655.335193655,1068372.0860369825,1037702.3614380587
2019-01-10,1055408.5145742625,1082727.679571294,1089080.9984029823,1090097.403974809,1092850.825220965,1052545.9046698322,1091683.219043328,1070908.6740863812,1067321.056818795,1071631.7966143962,1074401.0104022084,1040885.8881611219
2019-01-11,1041744.174314702,1070805.2068569986,1079327.8819249868,1076708.080921015,1076035.3190702975,1047969.5079487436,1075617.1550817443,1059888.6658082935,1059754.612009652,1064734.186607837,1062617.9498961617,1037813.9752462989
2019-01-14,1061095.9761326413,1097096.9288735564,1108102.9061184456,1113387.955454633,1107473.784682112,1061151.5845445772,1092947.206605112,1087206.9675701107,1082281.1925872068,1087720.3068338647,1087670.7946665632,1028324.728937346
2019-01-15,1056411.6757637036,1087128.3347364564,1101098.7318469412,1103532.7812821935,1104097.4018223335,1059501.2100515445,1097904.3818069033,1084776.6358236696,1079286.8186472831,1084980.4031165068,1085738.8666770747,1048542.1041214052
2019-01-16,1062656.9516051984,1095647.045581437,1113643.9810178874,1113235.134269332,1113611.4921587468,1080830.3590831214,1115927.1819844544,1097764.5647540526,1090834.9081931012,1096711.524343186,1096097.7017125979,1048372.3037473838
2019-01-17,1084874.4106636294,1097863.4823202246,1112710.6111545647,1098287.4883954262,1112042.0065829328,1095547.4702395243,1129966.3559847847,1098097.6583469587,1091952.6339866095,1095322.888605626,1098750.0452423359,1056215.5918195522
2019-01-18,1054337.745733382,1070459.9120479843,1094740.5702210881,1071461.5334528256,1084216.1951302707,1064889.227557824,1113780.3444434444,1070380.9072029074,1067896.76774279,1070407.9904146912,1076834.5441792188,1066616.632361157
2019-01-22,1052124.1328540887,1065737.7483816724,1088789.1589417672,1065131.9092552648,1081931.7464681931,1067610.9024584729,1106312.0088489607,1068210.441543142,1064373.1502782463,1066655.8879024668,1073886.1151580485,1044952.9602300196
2019-01-23,1068324.0485571574,1075807.7176995177,1092021.0237005763,1077500.3005841812,1092506.7106196224,1081529.865900674,1109235.2796052434,1070539.9479826738,1067143.8616803107,1068964.7252334633,1075360.1871957956,1046831.5879666497
2019-01-24,1079124.5214454727,1093824.491677359,1113460.0322687672,1102901.7854670337,1107572.118526236,1090530.6764692874,1124130.7669116384,1070675.8782176326,1083254.5374182384,1086933.0141567925,1093204.5520655175,1053715.8723893384
2019-01-25,1078695.6065485,1089791.9250780437,1100289.718982264,1090731.0660630062,1098267.2908416197,1076577.5296214225,1110655.3920056405,1055301.2416186214,1073870.6259253258,1076857.167480014,1081466.3457839934,1067050.5751795762
2019-01-28,1067166.9626003462,1086830.9098663728,1097476.6895004325,1081725.2946987825,1088789.6237322816,1073027.9883380882,1105410.7127314752,1049781.711775102,1067503.0918095706,1069047.3278290834,1070682.5626072597,1052857.5053991454
2019-01-29,1091569.6071620097,1102210.2612535844,1109321.8729888676,1090727.6826172078,1106013.2026062156,1075428.0369761311,1121913.742665007,1039411.4730066872,1088859.442519999,1090799.9373112833,1094586.32264277,1042748.8561887555
2019-01-30,1110627.4704811787,1118507.3573134306,1119129.0488628126,1115425.3785154675,1133187.2506210206,1095914.7285784874,1143173.1480983172,1057592.267628429,1104291.4470798653,1103656.3552727103,1108862.6309315336,1070279.6992906
2019-01-31,1115475.4316530612,1120408.8152386993,1121072.3634216574,1122746.7931984386,1145223.4309102034,1100163.6569000203,1147439.6121701216,1066083.2996228558,1111013.7240067178,1109999.9634911786,1115618.9287147021,1085832.553802231
2019-02-01,1123455.0133241147,1133654.1129076928,1135853.5654554777,1137197.6011245504,1150251.3231580905,1101669.8716080135,1149025.9880262292,1068253.5617532758,1126740.690891822,1127020.0630063845,1134307.097471247,1080908.7267720075
